					郑州商品交易所期货每日行情表(2021-04-09)
品种月份|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA104   |4,368.00  |4,384.00  |4,384.00  |4,330.00  |4,330.00  |4,348.00  |-38.00   |-20.00   |1,071     |8,752     |-50       |2,328.30    |4,390.00
TA105   |4,468.00  |4,406.00  |4,418.00  |4,330.00  |4,360.00  |4,372.00  |-108.00  |-96.00   |237,747   |675,565   |-36,986   |519,773.50  |
TA106   |4,498.00  |4,422.00  |4,446.00  |4,362.00  |4,388.00  |4,404.00  |-110.00  |-94.00   |147,397   |50,997    |-223      |324,493.86  |
TA107   |4,534.00  |4,478.00  |4,478.00  |4,390.00  |4,418.00  |4,430.00  |-116.00  |-104.00  |84,722    |76,096    |8,354     |187,669.83  |
TA108   |4,532.00  |4,506.00  |4,506.00  |4,418.00  |4,446.00  |4,454.00  |-86.00   |-78.00   |8,482     |8,537     |-289      |18,889.13   |
TA109   |4,580.00  |4,506.00  |4,530.00  |4,442.00  |4,468.00  |4,486.00  |-112.00  |-94.00   |1,372,710 |1,749,132 |60,995    |3,078,149.91|
TA110   |4,690.00  |4,630.00  |4,634.00  |4,556.00  |4,568.00  |4,578.00  |-122.00  |-112.00  |285       |6,952     |-75       |652.24      |
TA111   |4,708.00  |4,616.00  |4,632.00  |4,552.00  |4,578.00  |4,568.00  |-130.00  |-140.00  |1,134     |14,940    |-164      |2,589.30    |
TA112   |4,706.00  |4,640.00  |4,642.00  |4,574.00  |4,584.00  |4,590.00  |-122.00  |-116.00  |149       |7,093     |23        |341.97      |
TA201   |4,696.00  |4,648.00  |4,668.00  |4,582.00  |4,604.00  |4,622.00  |-92.00   |-74.00   |30,183    |176,127   |2,657     |69,752.74   |
TA202   |4,732.00  |4,684.00  |4,686.00  |4,612.00  |4,626.00  |4,638.00  |-106.00  |-94.00   |169       |18,372    |87        |391.91      |
TA203   |4,726.00  |4,700.00  |4,710.00  |4,634.00  |4,634.00  |4,674.00  |-92.00   |-52.00   |59        |4,721     |25        |137.85      |
小计    |          |          |          |          |          |          |         |         |1,884,108 |2,797,284 |34,354    |4,205,170.52|
总计    |          |          |          |          |          |          |         |         |1,884,108 |2,797,284 |34,354    |4,205,170.52|

