					郑州商品交易所期货每日行情表(2021-08-17)
合约代码|昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1    |涨跌2    |成交量(手)|持仓量    |增减量    |成交额(万元)|交割结算价
TA109 |5,206.00  |5,134.00  |5,236.00  |5,118.00  |5,174.00  |5,184.00  |-32.00   |-22.00   |138,104   |224,412   |-7,377    |358,038.71  |
TA110 |5,226.00  |5,154.00  |5,254.00  |5,142.00  |5,194.00  |5,204.00  |-32.00   |-22.00   |119,490   |256,078   |476       |310,915.52  |
TA111 |5,216.00  |5,148.00  |5,246.00  |5,126.00  |5,182.00  |5,200.00  |-34.00   |-16.00   |71,205    |323,014   |7,555     |185,130.75  |
TA112 |5,196.00  |5,150.00  |5,246.00  |5,116.00  |5,184.00  |5,198.00  |-12.00   |2.00     |10,927    |10,122    |395       |28,399.82   |
TA201 |5,196.00  |5,118.00  |5,234.00  |5,108.00  |5,174.00  |5,180.00  |-22.00   |-16.00   |1,837,040 |1,539,327 |-37,991   |4,758,063.14|
TA202 |5,160.00  |5,098.00  |5,178.00  |5,086.00  |5,126.00  |5,132.00  |-34.00   |-28.00   |33        |30,443    |3         |84.68       |
TA203 |5,092.00  |5,038.00  |5,134.00  |5,034.00  |5,082.00  |5,106.00  |-10.00   |14.00    |1,741     |49,190    |-50       |4,444.89    |
TA204 |5,102.00  |5,052.00  |5,122.00  |5,050.00  |5,104.00  |5,084.00  |2.00     |-18.00   |12        |8,332     |2         |30.51       |
TA205 |5,096.00  |5,050.00  |5,134.00  |5,022.00  |5,090.00  |5,094.00  |-6.00    |-2.00    |31,852    |150,315   |-117      |81,105.46   |
TA206 |5,086.00  |5,046.00  |5,124.00  |5,046.00  |5,104.00  |5,084.00  |18.00    |-2.00    |21        |1,574     |0         |53.38       |
TA207 |5,108.00  |5,018.00  |5,116.00  |5,006.00  |5,066.00  |5,058.00  |-42.00   |-50.00   |37        |796       |3         |93.56       |
TA208 |5,110.00  |0.00      |0.00      |0.00      |0.00      |5,110.00  |0.00     |0.00     |0         |0         |0         |0.00        |
小计    |          |          |          |          |          |          |         |         |2,210,462 |2,593,603 |-37,101   |5,726,360.41|
总计    |          |          |          |          |          |          |         |         |2,210,462 |2,593,603 |-37,101   |5,726,360.41|
